street,county,longitude,latitude
1754 S Grand Ave,Glendora,-117.8722052,34.1068739
3711 Magnolia Blvd,Burbank,-118.3475612,34.1679016
1211 S Soto St,Los Angeles,-118.2198124,34.0278584
3500 Sunset Blvd,Los Angeles,-118.2768499,34.0885653
101 Vermont Ave,Los Angeles,-118.2922485,34.0725769
10855 Lindbrook Dr,Los Angeles,-118.4428398,34.0603338
3403 W Slauson Ave,Los Angeles,-118.3312463,33.9891799
12730 Hawthorne Blvd,Hawthorne,-118.3513145,33.9168461
16656 Ventura Blvd,Encino,-118.4970023,34.1579444
2302 S La Cienega Blvd,Los Angeles,-118.3770218,34.0380831
1907 Hillhurst Ave,Los Angeles,-118.2879573,34.1057682
8919 S Sepulveda Blvd,Los Angeles,-118.3965301,33.9554328
305 N Soto St,Los Angeles,-118.2077355,34.0471985
4310 S Central Ave,Los Angeles,-118.2561996,34.0056144
11814 Wilmington Ave,Los Angeles,-118.2386803,33.9253808
1830 W Lincoln Ave,Anaheim,-117.947188,33.8319616
1222 Pacific Coast Hwy,Harbor City,-118.2982651,33.7895717
3804 E Chapman Ave b,Orange,-117.812509,33.7874296
1710 Highland Ave,Los Angeles,-118.3385423,34.1020668
17719 Vanowen St,Reseda,-118.5191935,34.1940876
425 Imperial Hwy.,Los Angeles,-118.265595,33.9312972
5440 S Central Ave,Los Angeles,-118.256147,33.993131
14825 Jeffrey Rd,Irvine,-117.7708311,33.6879547
1115 Fair Oaks Ave,South Pasadena,-118.1515089,34.1134079
261 E Adams Blvd,Los Angeles,-118.26539,34.0238516
5418 Reseda Blvd,Tarzana,-118.5356991,34.1695009
625 W College St #109,Los Angeles,-118.2407286,34.0653581
4414 Avalon Blvd,Los Angeles,-118.2649764,34.0034205
4819 Paramount Blvd,Lakewood,-118.1604234,33.8461876
3813 E Cesar E Chavez Ave,Los Angeles,-118.1841274,34.0407183
19417 Soledad Canyon Rd,Santa Clarita,-118.4751533,34.4164502
136 N Lake Ave,Pasadena,-118.1321666,34.1483394
1511 N San Fernando Blvd,Burbank,-118.3229711,34.1909464
18525 Brookhurst St,Fountain Valley,-117.9546944,33.6935482
9116 Telegraph Rd,Downey,-118.1083703,33.95937
1077 W Carson St,Torrance,-118.2945068,33.8318064
3330 W Florence Ave C,Los Angeles,-118.3304968,33.9743128
1868 N Tustin St,Orange,-117.8364407,33.819189
11121 1st Ave,Whittier,-117.9865225,33.9319045
5424 Laurel Canyon Blvd c,Valley Village,-118.3961408,34.1693896
13444 Newport Ave # C,Tustin,-117.8157776,33.7438628
21618 Ventura Blvd,Woodland Hills,-118.6004278,34.1680215
4135 S Centinela Ave,Los Angeles,-118.4278923,33.9961984
2138 Verdugo Blvd,Montrose,-118.2244072,34.2046376
2380 W Whittier Blvd,La Habra,-117.9729981,33.9396556
10311 Avalon Blvd,Los Angeles,-118.2656342,33.9424762
2016 N Main St,Los Angeles,-118.2158278,34.0658609
8566 Westminster Blvd.,Westminster,-117.9794089,33.7587927
1905 S Western Ave #1,Los Angeles,-118.309242,34.039527
21101 Sherman Way,Canoga Park,-118.5929772,34.2015826
537 E Sepulveda Blvd,Carson,-118.2652146,33.8085099
11845 Braddock Dr,Los Angeles,-118.4142555,33.9934052
1930 W Olympic Blvd,Los Angeles,-118.2786,34.0507926
2509 W McFadden Ave F,Santa Ana,-117.9032267,33.7351379
2020 S Central Ave,Los Angeles,-118.2516824,34.0230375
23758 Lyons Ave,Newhall,-118.5508685,34.3789564
8310 Valley Blvd,Rosemead,-118.0875653,34.0801152
6031 San Vicente Blvd,Los Angeles,-118.3626029,34.0583447
1447 S La Cienega Blvd,Los Angeles,-118.3765346,34.0520124
8399 CA-27,Canoga Park,-118.6068876,34.2218046
701 S Vermont Ave,Los Angeles,-118.2921947,34.059611
318 E 2nd St A,Los Angeles,-118.2412631,34.04880310000001
3401-3413 W 6th St,Los Angeles,-118.2958953,34.0637329
5720 E 7th St,Long Beach,-118.119991,33.7748352
18330 Colima Rd,Rowland Heights,-117.904586,33.9881034
2829 Ocean Park Blvd,Santa Monica,-118.455094,34.0194727
704 N Vermont Ave,Los Angeles,-118.2912767,34.0839178
125 N Western Ave,Los Angeles,-118.3094132,34.0737898
6660 Sunset Blvd suite q,Los Angeles,-118.3358744,34.097789
27 Peninsula Center,Rolling Hills Estates,-118.3768745,33.77440199999999
3465 W 6th St #120,Los Angeles,-118.2973753,34.0640763
800 W Las Tunas Dr #100,San Gabriel,-118.1112024,34.1021307
136 S Brand Blvd,Glendale,-118.2540709,34.1453724
3450 W 6th St Ste 111,Los Angeles,-118.2971356,34.0634655
4187 Campus Dr Suite M173,Irvine,-117.8389509,33.6507179
3905 Irvine Blvd,Irvine,-117.7732179,33.7234532
3013 S Figueroa St,Los Angeles,-118.2787091,34.0249363
11230 Garvey Ave #C,El Monte,-118.0311685,34.062467
2848 W Olympic Blvd,Los Angeles,-118.296157,34.0525126
1055 Broxton Ave,Los Angeles,-118.4464805,34.0614825
11900 South St #106,Cerritos,-118.0803959,33.8579324
709 W Las Tunas Dr,San Gabriel,-118.1104736,34.1027705
1001 S Alvarado St,Los Angeles,-118.2803892,34.0517505
891 Baker St Ste A18,Costa Mesa,-117.8935517,33.6794268
4161 Ball Rd,Cypress,-118.0598608,33.8184529
3617 Vermont Ave #3945,Los Angeles,-118.2921847,34.0224659
1543 E Colorado Blvd,Pasadena,-118.1185753,34.1462639
227 W Valley Blvd #118,San Gabriel,-118.1029291,34.0799215
870 N Tustin St,Orange,-117.836283,33.8013617
16045 Sherman Way Ste #K,Van Nuys,-118.4831332,34.2013848
1001 Vermont Ave,Los Angeles,-118.2919929,34.0518205
3512 W 8th St,Los Angeles,-118.3072853,34.0572963
1947 Sawtelle Blvd Suite E,Los Angeles,-118.4441374,34.0408691
8744 Garden Grove Blvd,Garden Grove,-117.9797161,33.7734167
9 E Main St,Alhambra,-118.1266924,34.095704
5263 Rosecrans Ave,Hawthorne,-118.3720697,33.9026144
1200 W Warner Ave b,Santa Ana,-117.8838721,33.7157865
113 Broadway,Santa Monica,-118.4962169,34.0132131
5001 Wilshire Blvd Unit 105,Los Angeles,-118.3393022,34.0626722
12906 Victory Blvd,Valley Glen,-118.4142968,34.1864
12911 Magnolia St A,Garden Grove,-117.9758557,33.7750395
952 Gayley Ave,Los Angeles,-118.4481688,34.0629402
372 E 2nd St,Los Angeles,-118.2396919,34.0477722
2111 Sawtelle Blvd,Los Angeles,-118.4425119,34.0391167
4740 Barranca Pkwy Suite 4740,Irvine,-117.7994717,33.6769807
724 S Spring St #107,Los Angeles,-118.2525938,34.0438135
10872 Westminster Ave #103,Garden Grove,-117.9393704,33.7593147
158 W Valley Blvd,San Gabriel,-118.1021457,34.0794787
9211 Bolsa Ave suite 105,Westminster,-117.968068,33.7452998
10250 Santa Monica Blvd Suite 2770,Los Angeles,-118.4199591,34.0593679
9709 Bolsa Ave,Westminster,-117.9600484,33.7457477
9772 Garden Grove Blvd STE 1,Garden Grove,-117.9617993,33.7730287
140 W Valley Blvd Ste 104,San Gabriel,-118.102141,34.0788371
18353 Colima Rd,Rowland Heights,-117.9046163,33.9886644
228 W Valley Blvd STE 105,Alhambra,-118.124841,34.0783127
3908 Atlantic Ave,Long Beach,-118.1848096,33.8294268
1328 Wilshire Blvd,Santa Monica,-118.4889867,34.0264846
11207 National Blvd,Los Angeles,-118.4294492,34.0274306
8450 Garvey Ave Suit 102b,Rosemead,-118.0845595,34.0623932
14291 N Euclid St Ste D105,Garden Grove,-117.9383976,33.7552427
417 W Main St,Alhambra,-118.131732,34.0931015
6100 Warner Ave UNIT 103,Huntington Beach,-118.0224055,33.7151296
1500 E Village Way #2197,Orange,-117.8373944,33.8257341
16244 Whittier Blvd,Whittier,-117.9841483,33.9404298
106 W Foothill Blvd,Glendora,-117.8658789,34.1353966
1904 S Pacific Coast Hwy,Redondo Beach,-118.3766824,33.8163305
2445 E Imperial Hwy a,Brea,-117.8674869,33.9126257
8801 Valley Blvd,Rosemead,-118.0774716,34.0816534
1428 S Azusa Ave Ste A,West Covina,-117.9076445,34.0477113
21215 Hawthorne Blvd,Torrance,-118.3548836,33.8368804
10333 Garvey Ave,El Monte,-118.0454544,34.0630515
1643 N Cahuenga Blvd,Los Angeles,-118.329691,34.1010182
140 W Valley Blvd Ste 211,San Gabriel,-118.102016,34.078219
21540 Hawthorne Blvd #519,Torrance,-118.3507414,33.8333502
705 N Pacific Coast Hwy,Redondo Beach,-118.3899063,33.8530532
921 S Baldwin Ave,Arcadia,-118.0548796,34.1294354
5900 Sunset Blvd,Los Angeles,-118.318129,34.0978983
627 N Euclid St,Anaheim,-117.9438326,33.8403667
3525 W 3rd St #6,Los Angeles,-118.292356,34.0692874
153 E Garvey Ave,Monterey Park,-118.1215473,34.0626531
13776 Jamboree Rd,Irvine,-117.7896593,33.7233265
501 W Garvey Ave,Monterey Park,-118.1293009,34.0626644
800 Fair Oaks Ave,South Pasadena,-118.1501373,34.1167016
23120 Lyons Ave Ste 6,Santa Clarita,-118.5371518,34.3796187
401 S Magnolia Ave,Anaheim,-117.976249,33.826985
1164 Galleria Way,Glendale,-118.2584625,34.144031
5803 N Figueroa St,Los Angeles,-118.1919093,34.1105665
2 E Colorado Blvd,Pasadena,-118.1503311,34.1456235
18156 Colima Rd,Rowland Heights,-117.9076185,33.9881717
17515 Colima Rd B,City of Industry,-117.9236267,33.9914669
18732 Amar Rd,Walnut,-117.8934285,34.0267486
149 N Glassell St,Orange,-117.8528697,33.789145
7318 Santa Monica Blvd Suite 60,West Hollywood,-118.3497463,34.0902006
700 N Spring St,Los Angeles,-118.2375705,34.0599178
19520 Nordhoff St #4,Northridge,-118.5582082,34.2342974
2153 Brea Mall,Brea,-117.8860274,33.9158377
8526 Valley Blvd #113,Rosemead,-118.0829037,34.0801549
17980 Castleton St,City of Industry,-117.9127254,33.9920111
3910 E Chapman Ave,Orange,-117.8117659,33.7874348
453 Los Cerritos Center,Cerritos,-118.092912,33.86041489999999
10250 Santa Monica Blvd Ste 2400,Los Angeles,-118.4172774,34.0581938
919 W Duarte Rd,Monrovia,-118.0182427,34.1317838
1552 S Azusa Ave suite b,City of Industry,-117.9309385,33.9942663
2740 W Olympic Blvd #3,Los Angeles,-118.2930657,34.0520068
400 S Baldwin Ave #M5,Arcadia,-118.0518497,34.1350325
9300 Culver Blvd Unit 117,Culver City,-118.3933009,34.0246419
5718 E 7th St,Long Beach,-118.1200698,33.7748327
1693 Artesia Blvd,Gardena,-118.3064735,33.8733243
9571 Valley View St,Cypress,-118.0286264,33.8226958
165 N Glassell St,Orange,-117.852801,33.7893428
704 W Las Tunas Dr,San Gabriel,-118.1099215,34.1020318
2 Hutton Centre Dr #202,Santa Ana,-117.865009,33.6996043
17662 17th St,Tustin,-117.8236034,33.7590027
3109 W Olympic Blvd B,Los Angeles,-118.3035009,34.0528785
2923 Chino Ave h3,Chino Hills,-117.7417813,34.009472
701 W Garvey Ave,Monterey Park,-118.1322099,34.0626207
8256 Beverly Blvd,Los Angeles,-118.369861,34.075852
1241 Grand Ave a #A,Diamond Bar,-117.8094522,34.0000269
24602 Raymond Way H,Lake Forest,-117.7021243,33.6207813
1535 E Colorado Blvd,Pasadena,-118.1186872,34.1462351
500 W Main St,Alhambra,-118.1321981,34.0922794
2099 S Atlantic Blvd suite a,Monterey Park,-118.143868,34.0399093
960 N Broadway,Los Angeles,-118.2363889,34.0655556
239 E Colorado Blvd,Pasadena,-118.1455119,34.1461177
3948 Peck Rd,El Monte,-118.021158,34.0768599
500 N Atlantic Blvd suite 200,Monterey Park,-118.1336572,34.0694168
1822 Westwood Blvd,Los Angeles,-118.4359369,34.0492685
3333 Bristol St Ste Ste 2071,Costa Mesa,-117.8880852,33.6916745
2575 Pacific Coast Hwy,Torrance,-118.3293561,33.7911424
9635 Reseda Blvd,Northridge,-118.5370086,34.2456698
210 Alpine St,Los Angeles,-118.2376183,34.0619013
3591 E Foothill Blvd,Pasadena,-118.0755727,34.151169
11510 South St,Cerritos,-118.0884462,33.8580674
50 N La Cienega Blvd #130,Beverly Hills,-118.3760051,34.0672905
11688 South St #105,Artesia,-118.0847881,33.8572845
12050 Ventura Blvd,Studio City,-118.3946552,34.1428798
