name,address,rating,price_level,open_now
Golden Dragon Chinese,"1754 S Grand Ave, Glendora",4.3,1.0,True
Century Dragon,"3711 Magnolia Blvd, Burbank",4.4,1.0,True
China garden Chinese food,"1211 S Soto St, Los Angeles",4.4,1.0,True
Fat Dragon,"3500 Sunset Blvd, Los Angeles",4.0,1.0,True
Sea Dragon,"101 Vermont Ave, Los Angeles",4.3,1.0,True
First Szechuan Wok,"10855 Lindbrook Dr, Los Angeles",4.0,2.0,True
Golden Wok,"3403 W Slauson Ave, Los Angeles",3.6,1.0,True
Hong Kong Chinese Food,"12730 Hawthorne Blvd, Hawthorne",3.8,1.0,True
California Wok,"16656 Ventura Blvd, Encino",4.2,1.0,True
Oriental House,"2302 S La Cienega Blvd, Los Angeles",4.3,1.0,True
Daily China Express,"1907 Hillhurst Ave, Los Angeles",4.4,1.0,True
Wacky Wok - Westchester,"8919 S Sepulveda Blvd, Los Angeles",3.9,1.0,True
Wok on Soto,"305 N Soto St, Los Angeles",4.3,1.0,True
King Chinese Food,"4310 S Central Ave, Los Angeles",4.0,1.0,True
China Gate,"11814 Wilmington Ave, Los Angeles",4.4,1.0,True
China Kitchen,"1830 W Lincoln Ave, Anaheim",4.1,1.0,True
Fine Wok,"1222 Pacific Coast Hwy, Harbor City",4.4,1.0,True
Orange Blossom Chinese Restaurant,"3804 E Chapman Ave b, Orange",4.5,1.0,True
Le Oriental Bistro,"1710 Highland Ave, Los Angeles",3.9,1.0,True
Golden City Chinese Cuisine,"17719 Vanowen St, Reseda",4.5,1.0,True
China Wok Express,"425 Imperial Hwy., Los Angeles",4.1,2.0,True
China Express,"5440 S Central Ave, Los Angeles",4.7,2.0,True
China Garden,"14825 Jeffrey Rd, Irvine",3.9,2.0,True
Golden China Restaurant,"1115 Fair Oaks Ave, South Pasadena",4.3,2.0,True
Hong Kong Express,"261 E Adams Blvd, Los Angeles",4.4,1.0,True
Super Wok Chinese Restaurant,"5418 Reseda Blvd, Tarzana",4.4,1.0,True
Jade Wok,"625 W College St #109, Los Angeles",4.6,1.0,True
Chinese Express,"4414 Avalon Blvd, Los Angeles",4.6,1.0,True
Golden Phoenix Chinese Restaurant,"4819 Paramount Blvd, Lakewood",4.4,1.0,True
Little China Express,"3813 E Cesar E Chavez Ave, Los Angeles",4.4,1.0,True
China Express,"19417 Soledad Canyon Rd, Santa Clarita",4.0,2.0,True
Go China Restaurant,"136 N Lake Ave, Pasadena",4.4,2.0,True
Sun Moon Garden,"1511 N San Fernando Blvd, Burbank",4.3,1.0,True
Lucky Chinese Food,"18525 Brookhurst St, Fountain Valley",4.5,1.0,True
Golden Palace Chinese Restaurant,"9116 Telegraph Rd, Downey",4.3,2.0,True
Golden Pheasant,"1077 W Carson St, Torrance",4.4,2.0,True
Hong Kong Express,"3330 W Florence Ave C, Los Angeles",4.4,1.0,True
Royal Wok Chinese Restaurant,"1868 N Tustin St, Orange",4.6,1.0,True
New China Restaurant,"11121 1st Ave, Whittier",4.6,1.0,True
China Lites,"5424 Laurel Canyon Blvd c, Valley Village",4.4,2.0,True
China Palace Restaurant,"13444 Newport Ave # C, Tustin",4.4,2.0,True
The China Garden,"21618 Ventura Blvd, Woodland Hills",4.2,2.0,True
New Flavors,"4135 S Centinela Ave, Los Angeles",4.2,1.0,True
New Moon,"2138 Verdugo Blvd, Montrose",4.5,2.0,True
Oriental Chinese Restaurant,"2380 W Whittier Blvd, La Habra",4.4,1.0,True
Hong Kong Express,"10311 Avalon Blvd, Los Angeles",3.7,,True
Chinese Express,"2016 N Main St, Los Angeles",4.5,,True
Peking Restaurant,"8566 Westminster Blvd., Westminster",4.5,2.0,True
Hong Kong Express,"1905 S Western Ave #1, Los Angeles",4.0,1.0,True
Royal Dragon Chinese Restaurant,"21101 Sherman Way, Canoga Park",4.4,1.0,True
Chinese Deli,"537 E Sepulveda Blvd, Carson",4.4,1.0,True
China Express,"11845 Braddock Dr, Los Angeles",4.0,1.0,True
Jin's Chinese Kitchen,"1930 W Olympic Blvd, Los Angeles",4.6,2.0,True
Lucky Chinese Food,"2509 W McFadden Ave F, Santa Ana",4.4,1.0,True
China Chef's Express Chinese Food,"2020 S Central Ave, Los Angeles",4.1,,True
Mandarin Wong Chinese Restaurant,"23758 Lyons Ave, Newhall",4.4,1.0,True
China Bistro,"8310 Valley Blvd, Rosemead",4.3,,True
Fortune House Chinese Cuisine,"6031 San Vicente Blvd, Los Angeles",4.3,2.0,True
Wok On Fire,"1447 S La Cienega Blvd, Los Angeles",4.3,2.0,True
Szechuwan Garden Restaurant - Authentic Chinese Food in Canoga Park,"8399 CA-27, Canoga Park",4.1,1.0,True
It's Boba Time Vermont,"701 S Vermont Ave, Los Angeles",4.5,1.0,True
Gong Cha,"318 E 2nd St A, Los Angeles",4.3,1.0,True
Tan-Cha,"3401-3413 W 6th St, Los Angeles",4.3,1.0,True
Cha For Tea - Long Beach,"5720 E 7th St, Long Beach",4.4,1.0,True
Tiger Sugar,"18330 Colima Rd, Rowland Heights",4.1,1.0,True
Bubble Boba,"2829 Ocean Park Blvd, Santa Monica",4.4,1.0,True
It's Boba Time,"704 N Vermont Ave, Los Angeles",4.5,1.0,True
It's Boba Time,"125 N Western Ave, Los Angeles",4.3,1.0,True
It's Boba Time,"6660 Sunset Blvd suite q, Los Angeles",4.4,1.0,True
It’s Boba Time - Rolling Hills Estates,"27 Peninsula Center, Rolling Hills Estates",4.3,1.0,True
Tiger Sugar,"3465 W 6th St #120, Los Angeles",4.2,1.0,True
Bubble Republic,"800 W Las Tunas Dr #100, San Gabriel",4.3,1.0,True
It's Boba Time- Glendale Marketplace,"136 S Brand Blvd, Glendale",4.2,1.0,True
It's Boba Time,"3450 W 6th St Ste 111, Los Angeles",4.1,1.0,True
