name,address,longitude,latitude,rating,price_level,user_ratings_total,open_now,types,category
Golden Dragon Chinese,"1754 S Grand Ave, Glendora",-117.8722052,34.1068739,4.3,1.0,285,True,"meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Century Dragon,"3711 Magnolia Blvd, Burbank",-118.3475612,34.1679016,4.4,1.0,371,True,"restaurant, point_of_interest, food, establishment",restaurant
China garden Chinese food,"1211 S Soto St, Los Angeles",-118.2198124,34.0278584,4.4,1.0,117,True,"restaurant, point_of_interest, food, establishment",restaurant
Fat Dragon,"3500 Sunset Blvd, Los Angeles",-118.2768499,34.0885653,4.0,1.0,97,True,"restaurant, point_of_interest, food, establishment",restaurant
Sea Dragon,"101 Vermont Ave, Los Angeles",-118.2922485,34.0725769,4.3,1.0,331,True,"restaurant, point_of_interest, food, establishment",restaurant
First Szechuan Wok,"10855 Lindbrook Dr, Los Angeles",-118.4428398,34.0603338,4.0,2.0,169,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Golden Wok,"3403 W Slauson Ave, Los Angeles",-118.3312463,33.9891799,3.6,1.0,16,True,"restaurant, point_of_interest, food, establishment",restaurant
Hong Kong Chinese Food,"12730 Hawthorne Blvd, Hawthorne",-118.3513145,33.9168461,3.8,1.0,206,True,"restaurant, point_of_interest, food, establishment",restaurant
California Wok,"16656 Ventura Blvd, Encino",-118.4970023,34.1579444,4.2,1.0,194,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Oriental House,"2302 S La Cienega Blvd, Los Angeles",-118.3770218,34.0380831,4.3,1.0,134,True,"restaurant, point_of_interest, food, establishment",restaurant
Daily China Express,"1907 Hillhurst Ave, Los Angeles",-118.2879573,34.1057682,4.4,1.0,189,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Wacky Wok - Westchester,"8919 S Sepulveda Blvd, Los Angeles",-118.3965301,33.9554328,3.9,1.0,312,True,"restaurant, point_of_interest, food, establishment",restaurant
Wok on Soto,"305 N Soto St, Los Angeles",-118.2077355,34.0471985,4.3,1.0,235,True,"restaurant, point_of_interest, food, establishment",restaurant
King Chinese Food,"4310 S Central Ave, Los Angeles",-118.2561996,34.0056144,4.0,1.0,70,True,"restaurant, point_of_interest, food, establishment",restaurant
China Gate,"11814 Wilmington Ave, Los Angeles",-118.2386803,33.9253808,4.4,1.0,402,True,"restaurant, point_of_interest, food, establishment",restaurant
China Kitchen,"1830 W Lincoln Ave, Anaheim",-117.947188,33.8319616,4.1,1.0,300,True,"meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Fine Wok,"1222 Pacific Coast Hwy, Harbor City",-118.2982651,33.7895717,4.4,1.0,89,True,"restaurant, point_of_interest, food, establishment",restaurant
Orange Blossom Chinese Restaurant,"3804 E Chapman Ave b, Orange",-117.812509,33.7874296,4.5,1.0,70,True,"restaurant, point_of_interest, food, establishment",restaurant
Le Oriental Bistro,"1710 Highland Ave, Los Angeles",-118.3385423,34.1020668,3.9,1.0,351,True,"restaurant, point_of_interest, food, establishment",restaurant
Golden City Chinese Cuisine,"17719 Vanowen St, Reseda",-118.5191935,34.1940876,4.5,1.0,318,True,"meal_delivery, restaurant, point_of_interest, food, establishment",restaurant
China Wok Express,"425 Imperial Hwy., Los Angeles",-118.265595,33.9312972,4.1,2.0,94,True,"restaurant, point_of_interest, food, establishment",restaurant
China Express,"5440 S Central Ave, Los Angeles",-118.256147,33.993131,4.7,2.0,95,True,"restaurant, point_of_interest, food, establishment",restaurant
China Garden,"14825 Jeffrey Rd, Irvine",-117.7708311,33.6879547,3.9,2.0,660,True,"restaurant, point_of_interest, food, establishment",restaurant
Golden China Restaurant,"1115 Fair Oaks Ave, South Pasadena",-118.1515089,34.1134079,4.3,2.0,332,True,"restaurant, point_of_interest, food, establishment",restaurant
Hong Kong Express,"261 E Adams Blvd, Los Angeles",-118.26539,34.0238516,4.4,1.0,159,True,"restaurant, point_of_interest, food, establishment",restaurant
Super Wok Chinese Restaurant,"5418 Reseda Blvd, Tarzana",-118.5356991,34.1695009,4.4,1.0,613,True,"restaurant, point_of_interest, food, establishment",restaurant
Jade Wok,"625 W College St #109, Los Angeles",-118.2407286,34.0653581,4.6,1.0,424,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Chinese Express,"4414 Avalon Blvd, Los Angeles",-118.2649764,34.0034205,4.6,1.0,191,True,"restaurant, point_of_interest, food, establishment",restaurant
Golden Phoenix Chinese Restaurant,"4819 Paramount Blvd, Lakewood",-118.1604234,33.8461876,4.4,1.0,423,True,"meal_delivery, restaurant, point_of_interest, food, establishment",restaurant
Little China Express,"3813 E Cesar E Chavez Ave, Los Angeles",-118.1841274,34.0407183,4.4,1.0,243,True,"restaurant, point_of_interest, food, establishment",restaurant
China Express,"19417 Soledad Canyon Rd, Santa Clarita",-118.4751533,34.4164502,4.0,2.0,105,True,"restaurant, meal_delivery, meal_takeaway, point_of_interest, food, establishment",restaurant
Go China Restaurant,"136 N Lake Ave, Pasadena",-118.1321666,34.1483394,4.4,2.0,377,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Sun Moon Garden,"1511 N San Fernando Blvd, Burbank",-118.3229711,34.1909464,4.3,1.0,282,True,"meal_delivery, restaurant, point_of_interest, food, establishment",restaurant
Lucky Chinese Food,"18525 Brookhurst St, Fountain Valley",-117.9546944,33.6935482,4.5,1.0,772,True,"restaurant, point_of_interest, food, establishment",restaurant
Golden Palace Chinese Restaurant,"9116 Telegraph Rd, Downey",-118.1083703,33.95937,4.3,2.0,715,True,"meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Golden Pheasant,"1077 W Carson St, Torrance",-118.2945068,33.8318064,4.4,2.0,770,True,"restaurant, point_of_interest, food, establishment",restaurant
Hong Kong Express,"3330 W Florence Ave C, Los Angeles",-118.3304968,33.9743128,4.4,1.0,121,True,"restaurant, point_of_interest, food, establishment",restaurant
Royal Wok Chinese Restaurant,"1868 N Tustin St, Orange",-117.8364407,33.819189,4.6,1.0,153,True,"restaurant, point_of_interest, food, establishment",restaurant
New China Restaurant,"11121 1st Ave, Whittier",-117.9865225,33.9319045,4.6,1.0,50,True,"restaurant, point_of_interest, food, establishment",restaurant
China Lites,"5424 Laurel Canyon Blvd c, Valley Village",-118.3961408,34.1693896,4.4,2.0,168,True,"restaurant, point_of_interest, food, establishment",restaurant
China Palace Restaurant,"13444 Newport Ave # C, Tustin",-117.8157776,33.7438628,4.4,2.0,454,True,"bar, restaurant, point_of_interest, food, establishment",restaurant
The China Garden,"21618 Ventura Blvd, Woodland Hills",-118.6004278,34.1680215,4.2,2.0,73,True,"restaurant, point_of_interest, food, establishment",restaurant
New Flavors,"4135 S Centinela Ave, Los Angeles",-118.4278923,33.9961984,4.2,1.0,370,True,"meal_delivery, restaurant, point_of_interest, food, establishment",restaurant
New Moon,"2138 Verdugo Blvd, Montrose",-118.2244072,34.2046376,4.5,2.0,756,True,"bar, restaurant, point_of_interest, food, establishment",restaurant
Oriental Chinese Restaurant,"2380 W Whittier Blvd, La Habra",-117.9729981,33.9396556,4.4,1.0,335,True,"restaurant, point_of_interest, food, establishment",restaurant
Hong Kong Express,"10311 Avalon Blvd, Los Angeles",-118.2656342,33.9424762,3.7,,86,True,"restaurant, point_of_interest, food, establishment",restaurant
Chinese Express,"2016 N Main St, Los Angeles",-118.2158278,34.0658609,4.5,,28,True,"restaurant, point_of_interest, food, establishment",restaurant
Peking Restaurant,"8566 Westminster Blvd., Westminster",-117.9794089,33.7587927,4.5,2.0,304,True,"restaurant, point_of_interest, food, establishment",restaurant
Hong Kong Express,"1905 S Western Ave #1, Los Angeles",-118.309242,34.039527,4.0,1.0,107,True,"restaurant, point_of_interest, food, establishment",restaurant
Royal Dragon Chinese Restaurant,"21101 Sherman Way, Canoga Park",-118.5929772,34.2015826,4.4,1.0,129,True,"meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Chinese Deli,"537 E Sepulveda Blvd, Carson",-118.2652146,33.8085099,4.4,1.0,235,True,"restaurant, point_of_interest, food, store, establishment",restaurant
China Express,"11845 Braddock Dr, Los Angeles",-118.4142555,33.9934052,4.0,1.0,106,True,"restaurant, point_of_interest, food, establishment",restaurant
Jin's Chinese Kitchen,"1930 W Olympic Blvd, Los Angeles",-118.2786,34.0507926,4.6,2.0,78,True,"restaurant, point_of_interest, food, establishment",restaurant
Lucky Chinese Food,"2509 W McFadden Ave F, Santa Ana",-117.9032267,33.7351379,4.4,1.0,338,True,"restaurant, point_of_interest, food, establishment",restaurant
China Chef's Express Chinese Food,"2020 S Central Ave, Los Angeles",-118.2516824,34.0230375,4.1,,94,True,"restaurant, point_of_interest, food, establishment",restaurant
Mandarin Wong Chinese Restaurant,"23758 Lyons Ave, Newhall",-118.5508685,34.3789564,4.4,1.0,388,True,"restaurant, point_of_interest, food, establishment",restaurant
China Bistro,"8310 Valley Blvd, Rosemead",-118.0875653,34.0801152,4.3,,109,True,"restaurant, point_of_interest, food, establishment",restaurant
Fortune House Chinese Cuisine,"6031 San Vicente Blvd, Los Angeles",-118.3626029,34.0583447,4.3,2.0,385,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Wok On Fire,"1447 S La Cienega Blvd, Los Angeles",-118.3765346,34.0520124,4.3,2.0,245,True,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Szechuwan Garden Restaurant - Authentic Chinese Food in Canoga Park,"8399 CA-27, Canoga Park",-118.6068876,34.2218046,4.1,1.0,300,True,"meal_delivery, restaurant, point_of_interest, food, establishment",restaurant
It's Boba Time Vermont,"701 S Vermont Ave, Los Angeles",-118.2921947,34.059611,4.5,1.0,1531,True,"cafe, food, point_of_interest, store, establishment",drinking
Gong Cha,"318 E 2nd St A, Los Angeles",-118.2412631,34.04880310000001,4.3,1.0,233,True,"cafe, food, point_of_interest, store, establishment",drinking
Tan-Cha,"3401-3413 W 6th St, Los Angeles",-118.2958953,34.0637329,4.3,1.0,242,True,"cafe, food, point_of_interest, establishment",drinking
Cha For Tea - Long Beach,"5720 E 7th St, Long Beach",-118.119991,33.7748352,4.4,1.0,552,True,"meal_takeaway, cafe, restaurant, food, point_of_interest, establishment",restaurant
Tiger Sugar,"18330 Colima Rd, Rowland Heights",-117.904586,33.9881034,4.1,1.0,489,True,"cafe, food, point_of_interest, establishment",drinking
Bubble Boba,"2829 Ocean Park Blvd, Santa Monica",-118.455094,34.0194727,4.4,1.0,118,True,"cafe, food, point_of_interest, establishment",drinking
It's Boba Time,"704 N Vermont Ave, Los Angeles",-118.2912767,34.0839178,4.5,1.0,529,True,"cafe, food, point_of_interest, establishment",drinking
It's Boba Time,"125 N Western Ave, Los Angeles",-118.3094132,34.0737898,4.3,1.0,392,True,"cafe, food, point_of_interest, establishment",drinking
It's Boba Time,"6660 Sunset Blvd suite q, Los Angeles",-118.3358744,34.097789,4.4,1.0,459,True,"cafe, food, point_of_interest, establishment",drinking
It’s Boba Time - Rolling Hills Estates,"27 Peninsula Center, Rolling Hills Estates",-118.3768745,33.77440199999999,4.3,1.0,91,True,"cafe, food, point_of_interest, establishment",drinking
Tiger Sugar,"3465 W 6th St #120, Los Angeles",-118.2973753,34.0640763,4.2,1.0,112,True,"cafe, food, point_of_interest, establishment",drinking
Bubble Republic,"800 W Las Tunas Dr #100, San Gabriel",-118.1112024,34.1021307,4.3,1.0,232,True,"cafe, restaurant, food, point_of_interest, establishment",restaurant
It's Boba Time- Glendale Marketplace,"136 S Brand Blvd, Glendale",-118.2540709,34.1453724,4.2,1.0,302,True,"cafe, food, point_of_interest, establishment",drinking
It's Boba Time,"3450 W 6th St Ste 111, Los Angeles",-118.2971356,34.0634655,4.1,1.0,476,True,"cafe, food, point_of_interest, store, establishment",drinking
Cha For Tea - University Center,"4187 Campus Dr Suite M173, Irvine",-117.8389509,33.6507179,4.3,1.0,511,True,"meal_takeaway, cafe, restaurant, food, point_of_interest, establishment",restaurant
It's Boba Time -Irvine,"3905 Irvine Blvd, Irvine",-117.7732179,33.7234532,4.3,1.0,153,True,"cafe, food, point_of_interest, establishment",drinking
Pot of Cha,"3013 S Figueroa St, Los Angeles",-118.2787091,34.0249363,4.6,1.0,277,True,"cafe, food, point_of_interest, store, establishment",drinking
Hello Boba,"11230 Garvey Ave #C, El Monte",-118.0311685,34.062467,4.7,1.0,189,True,"cafe, food, point_of_interest, establishment",drinking
It's Boba Time Dewey,"2848 W Olympic Blvd, Los Angeles",-118.296157,34.0525126,4.4,1.0,396,True,"cafe, food, point_of_interest, establishment",drinking
Sharetea,"1055 Broxton Ave, Los Angeles",-118.4464805,34.0614825,4.5,1.0,176,True,"cafe, food, point_of_interest, store, establishment",drinking
Sharetea,"11900 South St #106, Cerritos",-118.0803959,33.8579324,4.6,1.0,501,True,"cafe, point_of_interest, food, establishment",drinking
